Year,Geography,Selection Filter,Selection Value,Max. % Total Population,Max. Sub-Population,Max. Total Population
2011,Pacific,Race/Ethnicity,Multi-Race-NH,3.154137055,663.82,
2011,Okanogan,Race/Ethnicity,Multi-Race-NH,2.607475278,1071.84,
2011,Mason,Race/Ethnicity,Multi-Race-NH,3.683084878,2250.77,61111
2011,Lincoln,Race/Ethnicity,Multi-Race-NH,2.233930573,236.42,
2011,Lewis,Race/Ethnicity,Multi-Race-NH,2.879435886,2193.89,
2011,Klickitat,Race/Ethnicity,Multi-Race-NH,2.715866568,556.82,
2011,Kittitas,Race/Ethnicity,Multi-Race-NH,2.753083764,1132.81,
2011,Kitsap,Race/Ethnicity,Multi-Race-NH,5.148296512,13091.44,
2011,King,Race/Ethnicity,Multi-Race-NH,4.304516192,83662.94,
2011,Jefferson,Race/Ethnicity,Multi-Race-NH,3.246962942,978.32,
